user,tanggal,bahasa,isi,polarity,sentiment
474738509,2022-03-20 10:59:59+00:00,in,RT dirs Setelah pagelaran Moto GP Mandalika sukses semoga berikutnya Formula E juga sukses Di sini sukses di sana sukses diman,0.0,netral
61046197,2022-03-20 10:59:59+00:00,en,MotoGP BabyBali Token BB REAL PROJECT TOURISM SECTOR SC 0x16f9cc3c6F8d8006cfc0ee693CeF9D76b0d44C36 Why choose BB Crypto Real Project amp Utility Real Discount Hotel Cafe Etc Doxxed Dev Safu Website babybalibsc BabyBaliArmy,0.20000000000000004,positif
1460635615578374146,2022-03-20 10:59:59+00:00,in,Tbk XL Axiata Bersama Juara di Mandalika JadiLebihBaik JuaradiMandalika 2 160,0.0,netral
2579721385,2022-03-20 10:59:59+00:00,in,Baru nyampe dimari dari Mandalika,0.0,netral
1460635615578374146,2022-03-20 10:59:59+00:00,in,Tbk XL Axiata Bersama Juara di Mandalika JadiLebihBaik JuaradiMandalika 2 159,0.0,netral
854715487,2022-03-20 10:59:59+00:00,tl,ggwp,0.0,netral
1451755703635382272,2022-03-20 10:59:59+00:00,und,yesssss,0.0,netral
203033498,2022-03-20 10:59:58+00:00,in,9 Ayo Pepet terus jangan cuma nanya nama Semangatt,0.0,netral
1504606522273280006,2022-03-20 10:59:58+00:00,in,RT Marc Marquez crash di Mandalika apakah ban Michelin penyebabnya Chekidot the video MotoGP,0.0,netral
1416916293425328130,2022-03-20 10:59:58+00:00,in,RT Pendapatku mengenai Pawang Hujan emak emak di MotoGP Mandalika Memalukan Engga juga For me it s a MARKETING thing Th,0.0,netral
1455942401009225728,2022-03-20 10:59:58+00:00,in,RT Hujan turun di Mandalika sebelum laga MotoGP Saya pun ke paddock sirkuit bertanya ke CEO Dorna Sports Carmelo Ezpeleta hujan,0.0,netral
268695249,2022-03-20 10:59:58+00:00,in,RT post Misteri dibalik tikungan 13 Mandalika Yg membuat marquez amp alex rins peserta MotoGP glangsar,0.0,netral
1039696310,2022-03-20 10:59:57+00:00,in,RT indo Meskipun masih banyak kekurangan dan dengan cuaca ekstrim Indonesia bisa dibilang sukses dalam penyelenggaraan MotoGP di,0.0,netral
1380009631372640258,2022-03-20 10:59:57+00:00,in,RT MotoGP Mandalika harus dilalui dengan turunnya hujan yang cukup lebat Padahal tim khusus sudah diterjunkan untuk memodifikas,0.0,netral
1490870715821670401,2022-03-20 10:59:57+00:00,in,no you stupid jangan menormalisasi kebodohan jangan mimpi mau jadi negara maju kalo masih percaya dengan klenik dan perdukunan wkwk,-0.7999999999999999,negatif
58778142,2022-03-20 10:59:57+00:00,in,RT Selain teknologi modifikasi cuaca jasa pawang hujan juga diterjunkan untuk mengantisipasi hujan jelang race MotoGP Mandal,0.0,netral
1293885630854774784,2022-03-20 10:59:56+00:00,in,RT nakula Biar kadrun senang bilang aja kalo pemenang MotoGP Mandalika seorang mualaf namanya Muhammad Oliviera,0.0,netral
1056271661849370626,2022-03-20 10:59:55+00:00,es,PRESS RELEASE Fue mi primera carrera bajo la lluvia en el Campeonato del Mundo as que aprend mucho hoy Tenemos una moto que gan hoy bajo la lluvia con Miguel Oliveira,0.0,netral
63629656,2022-03-20 10:59:55+00:00,in,Sinyal sudah 5G di Mandalika tapi masih saja ada pawang,0.0,netral
1273823706,2022-03-20 10:59:55+00:00,en,RT AWESOME from moliveira88 A wet weather Mandalika masterclass from Miguel IndonesianGP,0.45,positif
1430426526676250633,2022-03-20 10:59:55+00:00,in,MotoGP Mau gmn lg,0.0,netral
1187376146234642433,2022-03-20 10:59:54+00:00,fr,C est une image officielle de la pass e dans le broadcast international diffus e par Canal et les autres cha nes ayant les droits donc ce n est pas fake,-0.25,negatif
836764482,2022-03-20 10:59:53+00:00,in,RT ID Oliviera dedikasikan kemenangannya di mandalikaGP untuk Richman Risman staf hotel tempatnya menginap selama di Mandalika,0.0,netral
988397067998380034,2022-03-20 10:59:53+00:00,en,so damn sexy,0.5,positif
800312861582995456,2022-03-20 10:59:53+00:00,in,RT Semula Mencibir Kini Terpana dgn Kesaktian Pawang Hujan MotoGPMandalika Sesaat kemudian setelah pawang melaukan ritual,0.0,netral
1010540903209947136,2022-03-20 10:59:53+00:00,in,Hanya di Indonesia,0.0,netral
